date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,3.8461538462,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4659002282,0.1971073648,0.0000000000,0.0000000000,0.0000000000,0.0274663240,1.5321620634,1.0996510624,0.2083151243,0.9474762693,0.1855661219,0.0123070770,0.0521175783,0.0992329977,0.2480458908,0.2971488384,0.0000000000,0.2811286534,0.0000000000,0.3280721464,0.0000000000,0.0000000000
2016-2,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2025653166,0.0000000000,0.0000000000,0.0949305028,0.0000000000,0.0274663240,0.0000000000,0.0000000000,0.0189377386,0.0000000000,0.0000000000,0.0369212310,0.0000000000,0.0000000000,0.1984367126,0.0409860467,0.0000000000,0.0255571503,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-3,13.4615384615,0.0000000000,0.0000000000,0.3937915655,0.0000000000,0.2228218483,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2229355928,0.0000000000,0.0092303077,0.0000000000,0.0000000000,0.0496091782,0.1024651167,0.0000000000,0.0511143006,0.1663402908,0.0000000000,0.0000000000,0.0000000000
2016-4,3.8461538462,0.0000000000,0.0000000000,0.4725498786,0.0000000000,0.9318004564,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2197305920,0.4377605896,0.0000000000,0.1704396472,1.6162830476,0.0000000000,0.0215373847,0.0000000000,0.0000000000,0.5953101379,0.3278883734,0.0000000000,0.2300143528,1.8297431992,0.1640360732,0.0000000000,0.0000000000
2016-5,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3241045066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2188802948,0.0000000000,0.0568132157,0.0557338982,0.0231957652,0.0123070770,0.0000000000,0.0000000000,0.0124022945,0.0307395350,0.0000000000,0.0766714509,0.0000000000,0.1640360732,0.0000000000,0.0000000000
2016-6,3.8461538462,0.0000000000,0.0446011755,0.9450997573,0.0542800958,0.8710308614,0.2956610472,0.0000000000,0.0000000000,0.1907430998,0.0823989720,3.2832044216,0.5498255312,0.3408792944,0.9474762693,0.3711322438,0.0307676925,0.0000000000,0.0000000000,0.5332986652,0.4918325601,0.0000000000,0.2044572025,1.8297431992,1.5856820412,0.0000000000,0.0000000000
2016-7,0.0000000000,0.0000000000,0.0000000000,0.4725498786,0.0000000000,0.2430783799,0.0985536824,0.0000000000,0.0000000000,0.0000000000,0.0823989720,0.2188802948,0.5498255312,0.3219415558,0.3901372874,0.0231957652,0.0000000000,0.0000000000,0.0000000000,0.1612298290,0.1127116284,0.0000000000,0.0000000000,0.0000000000,0.7655016750,0.0000000000,0.0000000000
2016-8,0.0000000000,0.0000000000,0.0000000000,0.0787583131,0.0217120383,0.1620522533,0.0985536824,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.2261457603,0.0463915305,0.0061535385,0.0000000000,0.0000000000,0.0992183563,0.0307395350,0.0493051185,0.2044572025,0.1663402908,0.1640360732,0.0000000000,0.0000000000
2016-9,13.4615384615,0.0000000000,0.0000000000,0.0000000000,0.0108560192,0.1620522533,0.0985536824,0.0000000000,0.0949305028,0.1907430998,0.2197305920,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0123070770,0.0000000000,0.0000000000,0.0372068836,0.4098604668,0.0000000000,0.0255571503,0.0000000000,0.0546786911,0.0000000000,0.0000000000
2016-10,0.0000000000,0.0000000000,0.0000000000,0.3150332524,0.0000000000,0.1620522533,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0274663240,0.8755211791,0.0000000000,0.1325641700,0.3344033892,0.0463915305,0.0123070770,0.0000000000,0.0000000000,0.0868160618,0.1639441867,0.0000000000,0.1022286013,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-11,42.3076923077,0.0000000000,0.0446011755,0.0787583131,0.0325680575,0.2025653166,0.0985536824,0.0000000000,0.0000000000,0.0000000000,0.0549326480,0.0000000000,0.0000000000,0.1325641700,0.0557338982,0.0231957652,0.0215373847,0.0000000000,0.0000000000,0.0496091782,0.1332046517,0.0000000000,0.1022286013,0.4990208725,0.0000000000,0.0000000000,0.2553737095
2016-12,0.0000000000,0.0000000000,0.0000000000,0.1575166262,0.0000000000,0.5064132915,0.0000000000,0.0000000000,0.0949305028,0.0000000000,0.0274663240,0.4377605896,0.0000000000,0.7953850202,0.0557338982,0.2087618872,0.0153838462,0.0000000000,0.0000000000,0.2356435963,0.1741906984,0.0000000000,0.1789000522,0.1663402908,0.0546786911,0.0000000000,0.0000000000
2017-1,1.9230769231,0.0000000000,0.0000000000,0.1575166262,0.0217120383,0.1620522533,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0549326480,0.0000000000,0.0000000000,0.0189377386,0.1114677964,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0496091782,0.1024651167,0.0493051185,0.0255571503,0.1663402908,0.1093573821,0.0000000000,0.0000000000
2017-2,9.6153846154,0.0540577462,0.0446011755,0.1575166262,0.0108560192,0.0405130633,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5498255312,0.0189377386,0.1114677964,0.0000000000,0.0153838462,0.0521175783,0.0000000000,0.0248045891,0.1024651167,0.0000000000,0.0766714509,1.3307223267,0.0546786911,0.0000000000,0.0000000000
2017-3,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0108560192,0.0405130633,0.0000000000,0.0000000000,0.0949305028,0.0000000000,0.0000000000,0.0000000000,0.5498255312,0.1893773858,0.0000000000,0.0231957652,0.0000000000,0.0000000000,0.0000000000,0.0124022945,0.0409860467,0.0000000000,0.1533429019,0.4990208725,0.0546786911,0.0000000000,0.0000000000
2017-4,0.0000000000,0.1621732387,0.0000000000,0.2362749393,0.0108560192,0.0810261266,0.0985536824,0.0000000000,0.0000000000,0.0000000000,0.0274663240,0.2188802948,0.0000000000,0.1325641700,0.0557338982,0.0463915305,0.0000000000,0.0000000000,0.0000000000,0.1612298290,0.1229581400,0.0000000000,0.1022286013,0.0000000000,0.0546786911,0.0000000000,0.0000000000
2017-5,0.0000000000,0.0000000000,0.0000000000,0.2362749393,0.0000000000,0.0810261266,0.0000000000,0.0000000000,0.1898610056,0.0000000000,0.0823989720,0.2188802948,0.0000000000,0.0000000000,0.0000000000,0.0927830610,0.0030767692,0.0000000000,0.0000000000,0.0868160618,0.0409860467,0.0000000000,0.1277857516,0.0000000000,0.0546786911,0.0000000000,0.0000000000
2017-6,28.8461538462,0.2162309849,0.0000000000,4.0954322815,0.0000000000,0.2633349116,0.0000000000,0.0000000000,0.0949305028,0.1907430998,0.0823989720,1.0944014739,0.0000000000,1.0226378832,0.2229355928,0.1391745914,0.0523050772,0.0521175783,0.0000000000,0.6573216107,0.6455302352,0.0000000000,0.1533429019,2.9941252351,1.4216459679,0.0000000000,0.2553737095
2017-7,1.9230769231,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0405130633,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0274663240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0124022945,0.0409860467,0.0000000000,0.0511143006,0.0000000000,0.0000000000,0.0000000000,0.0000000000
