date,chemtrails,illuminati,new world order,soros,jews,obama,kamala harris,moon landing,coronavirus,new holocaust,stop the steal,communist chinese
2001-09,0,0,6,0,0,0,0,0,0,0,0,0
2002-10,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,5,0,10,0,0,0,0,0,0,0,0,1
2002-12,0,0,0,0,0,0,0,0,0,0,0,0
2003-01,0,0,16,0,0,0,0,0,0,0,0,0
2003-02,0,0,5,0,0,0,0,3,0,0,0,0
2003-03,0,0,14,0,0,0,0,0,0,0,0,0
2003-04,0,0,3,0,0,0,0,0,0,0,0,0
2003-05,0,0,40,0,0,0,0,0,1,0,0,0
2003-06,0,0,9,0,3,0,0,0,0,0,0,1
2003-07,0,0,2,0,0,0,0,0,0,0,0,0
2003-09,0,0,1,0,0,0,0,0,0,0,0,0
2003-10,0,0,1,0,0,0,0,0,0,0,0,0
2003-11,0,0,2,0,0,0,0,0,0,0,0,0
2003-12,0,0,0,0,0,0,0,0,0,0,0,0
2004-01,0,0,2,0,0,0,0,0,0,0,0,0
2004-02,0,0,1,0,0,0,0,0,0,0,0,0
2004-06,0,0,0,0,0,0,0,0,0,0,0,0
2004-08,0,0,0,0,0,0,0,0,0,0,0,0
2004-09,0,0,7,0,0,0,0,0,0,0,0,0
2004-10,2,0,18,0,0,0,0,0,0,0,0,0
2004-11,0,0,0,0,0,0,0,0,0,0,0,0
2004-12,0,0,14,0,0,0,0,0,0,0,0,0
2005-01,0,0,1,0,0,0,0,0,0,0,0,0
2005-04,0,0,3,0,0,0,0,0,0,0,0,0
2005-05,0,0,1,0,0,0,0,0,0,0,0,0
2005-06,0,0,1,0,0,0,0,0,0,0,0,0
2005-09,0,0,0,0,0,0,0,0,0,0,0,0
2005-11,0,0,0,0,0,0,0,0,0,0,0,0
2005-12,0,0,0,0,0,0,0,0,0,0,0,0
2006-03,0,0,0,0,0,0,0,0,0,0,0,0
2006-04,0,0,0,0,0,0,0,0,0,0,0,0
2006-06,0,0,0,0,0,0,0,0,0,0,0,0
2006-10,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,0,0,4,0,0,0,0,0,0,0,0,0
2006-12,0,0,8,0,0,0,0,0,0,0,0,0
2007-01,0,7,63,0,0,1,0,0,0,1,0,0
2007-02,2,2,17,0,1,0,0,0,0,0,0,0
2007-03,4,0,10,0,1,1,0,0,0,0,0,0
2007-04,11,0,42,0,3,1,0,0,0,0,0,0
2007-05,0,0,3,0,0,0,0,0,0,0,0,0
2007-06,0,0,9,0,0,0,0,0,0,0,0,0
2007-07,0,0,0,0,0,0,0,0,0,0,0,0
2007-08,0,0,1,0,0,0,0,0,0,0,0,0
2007-10,0,0,0,0,0,0,0,0,0,0,0,0
2007-11,0,0,3,0,0,0,0,0,0,0,0,0
2007-12,0,0,8,0,0,0,0,0,0,0,0,0
2008-03,3,0,263,0,0,13,0,0,0,0,0,1
2008-04,7,1,608,0,10,17,0,0,0,0,0,2
2008-05,8,8,700,1,9,22,0,3,0,0,0,1
2008-06,30,26,485,0,7,29,0,0,0,0,0,1
2008-07,1,12,362,0,9,79,0,0,0,0,0,2
2008-08,8,14,326,0,2,171,0,1,0,0,0,0
2008-09,21,18,300,3,1,69,0,0,0,0,0,2
2008-10,3,24,479,4,5,218,0,0,0,0,0,0
2008-11,10,4,364,3,10,704,0,0,0,0,0,0
2008-12,10,5,236,0,1,157,0,0,0,0,0,0
2009-01,28,7,357,1,3,415,0,0,0,0,0,0
2009-02,3,1,342,0,1,360,0,0,0,0,0,1
2009-03,12,15,539,3,10,1374,0,0,0,0,0,1
2009-04,83,8,528,31,9,1524,0,1,2,0,0,0
2009-05,27,22,382,1,10,1230,0,1,0,0,0,1
2009-06,19,7,402,13,11,551,0,0,0,0,0,3
2009-07,25,4,385,3,13,610,0,8,0,0,0,2
2009-08,10,6,380,6,3,691,0,2,0,0,0,1
2009-09,11,2,267,8,1,484,0,0,0,0,0,1
2009-10,11,4,249,8,5,213,0,0,0,0,0,0
2009-11,11,5,220,13,10,201,0,3,0,0,0,2
2009-12,24,4,164,22,5,270,0,1,0,0,0,4
2010-01,5,38,158,5,16,402,0,0,0,0,0,0
2010-02,5,6,192,15,3,423,0,1,0,0,0,2
2010-03,12,5,248,6,12,280,0,0,0,0,0,4
2010-04,5,3,764,11,1,140,0,0,0,0,0,2
2010-05,9,9,573,3,2,152,0,0,0,0,0,2
2010-06,20,1,526,2,38,217,0,0,0,0,0,0
2010-07,7,5,295,0,9,345,0,0,0,0,0,1
