date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,82.0359281437,0.0000000000,0.5971750206,0.0000000000,1.5650869290,16.2542291537,5.4316652262,0.0000000000,1.4188415268,0.0593930610,4.9518328313,40.5518342536,5.9921105797,1.5862340552,34.2226159065,1.2278476930,1.6871012789,0.7627267154,0.5252812570,17.6676998276,8.5314787699,1.1667893911,2.6181540573,18.0763089708,18.8304244375,0.0000000000,3.1807024893
2016-2,44.6107784431,0.0000000000,0.2360924500,4.9537564124,1.0918425012,10.8361527692,5.7078515937,0.0000000000,1.3006047329,0.1187861220,3.0532026266,33.3274738655,9.7585800869,0.8786203503,32.4351263333,0.9028291860,1.5520182123,0.3894774717,0.2626406285,18.0191229280,8.9430572147,0.9057970273,1.6711621642,14.8650449130,16.9405717137,0.0000000000,0.7156580601
2016-3,83.8323353293,0.0000000000,0.6110628118,7.0382578730,1.4366348700,10.0224951980,7.5797814174,0.0000000000,2.6898870613,0.2375722441,4.1051463887,23.7177114626,11.9842211594,1.6923761109,24.8166028125,0.6861501814,1.4571726549,0.4381621556,1.3132031426,13.8792815695,8.9717719899,2.0111764504,1.4960880327,23.0485888024,14.7102049856,0.0000000000,0.3975878112
2016-4,40.4191616766,0.0000000000,1.3610035353,4.2916206543,1.4569167741,7.9662752895,4.2041702598,0.0399541794,0.7094207634,0.5345375492,2.1038875242,9.3371450298,4.2800789855,1.2972917923,19.2805914159,0.5344748781,1.2109574200,0.2109669638,0.6334273982,12.5817193526,6.2981073642,0.5526897116,1.1061501944,10.2035325709,7.3380767926,0.0000000000,0.3180702489
2016-5,14.3712574850,0.0000000000,0.3610825706,6.5968340343,1.3217040804,7.8275119828,3.7438596475,0.0000000000,0.2364735878,0.5345375492,1.8900778164,15.2665728955,6.8481263768,1.4506080951,19.1938200774,0.5705880456,0.9465395023,0.6491291195,0.4171351159,12.3770443601,6.5150634436,0.3684598077,1.4801722026,10.3071217341,10.0621888269,0.0000000000,0.1192763433
2016-6,45.8083832335,0.0000000000,0.6943895588,6.4987398479,1.8321319989,9.6755869312,4.3269197565,0.0000000000,0.6503023665,0.7127167323,1.5821918373,18.6742900596,3.5952663478,2.0697700869,30.8732422402,1.2278476930,1.3010127977,0.9899219072,0.6488768469,15.1498112401,5.8833383888,1.1053794231,1.8780679560,12.0163429262,9.9940860261,0.0000000000,1.1927634335
2016-7,58.6826347305,0.0000000000,0.4166337353,9.2699006133,2.3594615042,9.8900393143,4.8792924914,0.0000000000,0.9163351527,0.5939306102,2.1979637956,21.0596920745,8.7313611304,1.8692795371,34.7953067406,1.4373040641,0.8823510948,0.7789549434,0.3862362184,13.6668829923,7.1882653959,0.4912797436,1.8860258710,9.3230246841,22.6782326861,0.0000000000,0.7156580601
2016-8,51.7964071856,0.0000000000,1.0276965471,5.8120805432,2.0248100874,6.5597199534,1.9639919462,0.0000000000,0.8867759543,0.4157514272,2.0525731943,16.9704314775,18.4899412173,1.1380787087,26.7082179919,1.0545044893,0.7204430220,0.3083363318,0.5870790520,10.7435062121,4.4795049338,1.2435518510,1.4403826273,5.6456093920,11.1348079405,0.0000000000,1.1530046524
2016-9,53.2934131737,0.0000000000,0.3333069882,12.4089145775,2.6738310169,14.0087865543,5.0327293622,0.0000000000,0.9754535497,1.2472542815,2.3604591735,15.4710359253,9.9297832463,2.1405314573,35.7671457319,0.9606102539,1.3010127977,0.6329008915,0.7106746419,17.5518460582,7.6285586159,1.1974943751,1.6950359094,13.5701803735,9.5343921203,0.0000000000,0.9939695279
2016-10,49.4011976048,0.0000000000,0.5693994382,9.2699006133,2.4743922938,11.0758348444,5.1861662329,0.0000000000,1.7144335116,0.4157514272,2.9078120253,20.4463029850,33.0422097680,1.9164537841,34.2226159065,0.9461649869,0.7894216092,0.3732492437,1.2823042451,15.0725753939,5.9439584698,0.5833946955,1.8860258710,6.9922685131,15.8509269000,0.0000000000,5.7252644807
