date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,9.7995545657,0.0000000000,0.7954704086,0.0000000000,4.3979208462,1.6797131109,7.8641009642,0.0000000000,0.7476041378,0.8836205961,1.3900773863,0.4816341453,1.5919224734,0.1008887988,0.4841029019,0.1235729854,2.6592879793,0.0543229993,1.8617790027,1.2625480598,2.9785628130,0.7023508640,1.0152279131,4.4885945742,1.3234922374,0.0000000000,0.5175725515
2016-2,9.7995545657,0.0000000000,0.4442237347,0.3557279710,2.0468310856,1.1166807832,5.4786189591,0.0000000000,0.9784818863,0.8173490514,0.9670103557,1.4449024359,3.1838449469,0.1030820336,0.4389199644,0.1396912009,2.0485390048,0.0301794440,1.2182010758,1.8270320047,2.4647310608,0.4168423827,0.7103635544,6.2223864698,0.8232248367,0.0000000000,0.9168428055
2016-3,16.7037861915,0.0000000000,0.4803814805,1.1583962133,2.1813586816,1.0345719021,4.9878260107,0.0000000000,0.9564935293,2.4741376690,1.2914677777,0.5069833108,1.8466300692,0.0307052866,0.3356446787,0.1423775702,2.3517755143,0.0181076664,1.0228292052,1.7523420171,2.8468415094,0.4625237397,0.6896446174,7.1085467719,1.2411697537,0.0000000000,0.1183022975
2016-4,10.9131403118,0.0000000000,0.3770736353,1.1036688331,1.9651087143,1.3372017782,6.0721360130,0.0000000000,0.7476041378,0.5743533875,1.0560770990,0.5830308075,0.6367689894,0.0701835122,0.2904617411,0.1074547699,2.0506769825,0.0181076664,1.4537965669,1.3056384373,2.0612604009,0.6966406944,0.7813999098,4.9509390796,1.5767921872,0.0000000000,0.6506626362
2016-5,5.1224944321,0.0000000000,0.3564120662,1.0945476031,1.9525360418,1.3090501618,6.6314116984,0.0000000000,0.6046798174,1.0161636855,0.8334102408,0.9125699595,1.5919224734,0.1579129025,0.6067423037,0.1907322166,1.7317619696,0.0181076664,0.9308895014,1.1031136632,2.1289010704,0.7594525602,1.0537059390,4.8160885989,1.0321972952,0.0000000000,0.2070290206
2016-6,5.1224944321,0.0000000000,0.1549617679,0.3739704311,1.6608500394,1.2621308012,4.4970330622,0.0000000000,0.4397671399,0.9278016259,0.6202862479,0.9125699595,0.7004458883,0.0636038080,0.6648346520,0.0402955387,2.0193199757,0.0060358888,2.0226734844,0.6923187313,1.7788309389,0.5995678107,0.9945089761,2.4273086538,1.3488222324,0.0000000000,0.5915114874
2016-7,4.0089086860,0.0000000000,0.3254197126,1.0671839130,1.9952831283,1.1284106234,7.5216872792,0.0000000000,0.4837438539,0.2871766937,0.9224769841,0.6590783041,0.9551534841,0.0614105732,0.4647387858,0.0913365544,1.9327318772,0.0663947769,1.5514825023,0.8991525432,1.8725785335,0.5481762841,0.9057135318,1.4833552885,0.9435423128,0.0000000000,0.3105435309
2016-8,10.9131403118,0.0000000000,0.2221118673,0.6932134820,1.8129793768,0.6427952408,4.8052053787,0.0000000000,0.3188311764,0.6185344173,0.7570673179,1.5209499325,1.5282455745,0.0986955641,0.6002875984,0.1396912009,1.8365228789,0.0120717776,1.5974523542,0.5257026051,1.6221893886,0.7480322210,0.8524362652,1.0980682005,1.1271847764,0.0000000000,0.6654504234
2016-9,8.9086859688,0.0000000000,0.3512466739,0.8482743924,2.1360970605,1.3606614586,5.7297223280,0.0000000000,0.5826914604,0.6406249322,0.8747626573,0.6083799730,2.2286914628,0.0482511647,0.9488416877,0.0698456005,2.0171819979,0.0060358888,1.1779774554,0.7368454547,2.0517669736,0.4282627219,0.6245279582,0.4816088599,1.0131997990,0.0000000000,0.2661801693
2016-10,2.2271714922,0.0000000000,0.3719082430,0.8847593125,1.8582409979,1.0627235185,4.2573434828,0.0000000000,0.3957904259,1.6788791326,0.5503052353,1.4195532703,1.9739838671,0.1096617379,0.6971081787,0.0859638159,1.9213293292,0.0301794440,0.9768593533,0.5903381713,1.7610307628,0.5367559448,0.8109983912,1.3870335165,0.9625398090,0.0000000000,0.8429038696
2016-11,29.1759465479,0.0000000000,0.3512466739,0.7114559420,1.8997308172,1.3958509790,7.2249287523,0.0000000000,0.9784818863,0.6848059620,0.7856959140,0.4055866487,2.5470759575,0.0504443994,0.5034670180,0.0510410157,2.0378491161,0.0000000000,1.5572287337,0.5932108631,2.0873673260,0.6966406944,0.6955643137,1.9456997939,1.1778447663,0.0000000000,0.3401191053
2016-12,13.8084632517,0.0626058531,0.4700506960,1.3316995837,2.9457771706,2.6673656524,5.9237567495,0.0000000000,0.9235109938,0.9278016259,0.6361910235,1.1660616149,0.8277996862,0.0460579299,1.9428663130,0.0591001235,2.1721853841,0.0241435552,0.6205930009,1.6977608723,2.4813445586,0.4853644182,0.8879544430,2.6392165522,1.6591146708,0.0000000000,0.6210870618
