date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,7.6923076923,0.0000000000,0.0892023510,0.0000000000,0.0434240766,1.8230878495,4.7305767550,0.0000000000,0.0000000000,0.7629723993,1.0437203118,7.4419300224,23.0926723109,0.0378754772,0.7802745747,0.0927830610,0.3999800022,0.2084703134,0.0000000000,0.3472642471,3.5657860609,0.0986102370,0.8178288100,5.9882504702,3.1713640823,0.0000000000,0.0000000000
2016-2,15.3846153846,0.0000000000,0.0000000000,0.3150332524,0.0868481532,1.6205225329,2.3652883775,0.0000000000,0.0000000000,3.8148619966,0.2197305920,24.0768324253,6.5979063746,0.1515019086,0.1114677964,0.0463915305,0.2522950783,0.1042351567,0.0000000000,0.5457009598,2.0083162872,0.0000000000,1.9934577245,5.3228893068,0.1093573821,0.0000000000,0.0000000000
2016-3,30.7692307692,0.0000000000,0.0000000000,0.6300665048,0.0217120383,2.3902707360,1.1826441888,0.0000000000,0.0000000000,0.0000000000,0.7690570719,9.6307329701,4.3986042497,0.1136264315,1.2261457603,0.0463915305,0.4184406177,0.0000000000,0.0000000000,0.4464826035,3.3813488508,0.1972204740,1.1245146138,29.6085717692,1.9684328787,0.0000000000,0.0000000000
2016-4,19.2307692308,0.0000000000,0.0892023510,0.9450997573,0.0217120383,1.1748788363,4.9276841198,0.0000000000,0.0000000000,1.1444585990,0.5493264799,4.3776058955,8.7972084994,0.0378754772,2.1178881314,0.1855661219,0.3138304633,0.0000000000,0.0000000000,0.1984367126,3.5452930375,0.0000000000,3.2202009395,7.6516533786,2.2965050251,0.0000000000,0.0000000000
2016-5,15.3846153846,0.0000000000,0.0000000000,0.4725498786,0.1085601915,1.1343657730,4.7305767550,0.0000000000,0.7594440224,0.7629723993,0.2746632399,1.3132817687,12.0961616867,0.0378754772,0.8917423711,0.1855661219,0.2953698478,1.1465867235,0.0992329977,0.2728504799,2.1517674505,0.0000000000,1.4312004176,3.3268058168,1.0935738215,0.0000000000,0.2553737095
2016-6,50.0000000000,0.0000000000,0.0000000000,1.2601330097,0.0000000000,0.7292351398,5.3218988494,0.0000000000,0.9493050280,2.2889171979,0.1098652960,3.5020847164,16.4947659364,0.0000000000,1.7834847422,0.0927830610,0.2830627708,0.2084703134,0.0000000000,0.3720688362,3.4633209442,0.1972204740,1.3289718163,0.6653611634,3.8275083752,0.0000000000,0.0000000000
2016-7,7.6923076923,0.0000000000,0.0892023510,0.9450997573,0.1302722298,1.4989833429,5.3218988494,0.0000000000,0.1898610056,0.0000000000,0.3845285359,0.8755211791,8.7972084994,0.0757509543,2.5637593169,0.0927830610,0.4184406177,0.1042351567,0.1984659953,0.8929652069,2.6026139640,0.0986102370,1.2778575157,0.6653611634,1.9684328787,0.0000000000,0.0000000000
2016-8,30.7692307692,0.0000000000,0.0000000000,0.7875831311,0.0651361149,0.6482090131,1.1826441888,0.0000000000,0.1898610056,0.3814861997,0.0549326480,3.0643241269,4.3986042497,0.1136264315,0.7802745747,0.0000000000,0.0738424620,0.0000000000,0.0000000000,0.9673789742,2.8485302440,0.0000000000,0.8689431107,1.3307223267,0.7655016750,0.0000000000,0.0000000000
2016-9,7.6923076923,0.0000000000,0.0000000000,2.3627493932,0.1085601915,0.9318004564,1.1826441888,0.0000000000,0.0000000000,0.7629723993,0.4943938319,11.8195359179,1.0996510624,0.1136264315,2.4522915205,0.0000000000,0.1538384624,0.0000000000,0.2976989930,0.3472642471,2.9100093140,0.0986102370,2.0956863257,1.9960834901,2.4058624073,0.0000000000,0.0000000000
2016-10,0.0000000000,0.0000000000,0.2676070531,2.3627493932,0.0868481532,1.4584702796,3.5479325663,0.0000000000,0.0000000000,1.9074309983,0.0000000000,2.1888029478,20.8933701861,0.2272528629,1.2261457603,0.1855661219,0.0738424620,0.0000000000,0.0000000000,1.3146432213,2.9305023374,0.0000000000,1.0734003132,0.3326805817,2.4058624073,0.0000000000,0.0000000000
2016-11,57.6923076923,0.0000000000,0.0000000000,5.5130819174,0.2171203831,1.0938527097,2.9566104719,0.0000000000,0.3797220112,0.0000000000,1.2085182558,4.8153664851,16.4947659364,0.0378754772,5.1275186338,0.0463915305,0.1046101544,0.1042351567,0.0000000000,1.2898386322,3.6067721075,0.1972204740,0.5111430063,4.3248475618,1.7497181144,0.0000000000,0.0000000000
2016-12,88.4615384615,0.0000000000,0.0892023510,0.9450997573,0.1302722298,1.4989833429,2.5623957423,0.0000000000,0.9493050280,3.0518895972,0.2746632399,0.0000000000,6.5979063746,0.0378754772,1.4490813530,0.2319576524,0.1538384624,0.0000000000,0.0000000000,2.0587808937,3.8936744343,0.0986102370,2.2490292276,4.3248475618,7.1082298397,0.0000000000,0.0000000000
2017-1,34.6153846154,0.2162309849,0.3568094041,1.2601330097,0.3908166895,2.3092446093,1.3797515536,0.0000000000,1.1391660336,2.2889171979,0.1647979440,7.8796906119,34.0891829352,0.3408792944,3.2325660952,0.2783491829,0.2215273859,0.1042351567,0.0000000000,2.4804589081,3.0124744307,0.3944409480,1.3289718163,3.9921669801,7.8737315147,0.0000000000,0.0000000000
2017-2,15.3846153846,0.0000000000,0.1784047020,4.2529489077,0.2171203831,2.6738621792,2.9566104719,0.0000000000,0.9493050280,1.1444585990,0.3295958879,7.4419300224,8.7972084994,0.3787547715,3.0096305025,0.3247407134,0.1969132319,0.1042351567,0.1984659953,1.9099533593,3.2788837341,0.4930511850,2.1979149270,3.6594863984,8.5298758076,0.0000000000,0.7661211284
2017-3,88.4615384615,0.0000000000,0.0000000000,3.1503325242,0.1302722298,1.4179572163,3.5479325663,0.0000000000,0.9493050280,1.1444585990,0.1098652960,2.6265635373,2.1993021249,0.3787547715,1.5605491494,0.3247407134,0.1784526164,0.0000000000,0.1984659953,0.4216780144,3.1969116408,0.5916614220,2.0956863257,2.9941252351,2.8432919359,0.0000000000,0.0000000000
2017-4,34.6153846154,0.0000000000,0.0000000000,4.2529489077,0.2388324214,2.7954013692,2.3652883775,0.0000000000,0.7594440224,8.3926963924,0.2197305920,7.8796906119,2.1993021249,0.3408792944,1.3376135567,0.8814390791,0.2584486168,0.3127054701,0.0000000000,1.8851487702,4.9183256012,0.1972204740,2.9646294364,3.9921669801,10.4983086863,0.0000000000,0.0000000000
2017-5,15.3846153846,0.3243464774,0.0000000000,1.7326828883,0.2605444597,1.7825747862,8.8698314157,0.0000000000,0.0000000000,3.0518895972,0.0000000000,1.3132817687,24.1923233734,0.0000000000,1.3376135567,0.0463915305,0.1292243084,0.0000000000,0.0000000000,1.4882753449,2.1312744272,0.0000000000,1.1756289144,2.3287640717,3.6087936109,0.0000000000,0.0000000000
