date,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.2633432834,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0394404725,0.0000000000,0.0000000000,0.7949125596,0.0000000000,0.0000000000,0.0000000000,6.3968796498,0.0000000000,0.0000000000,0.0000000000
2016-2,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7789933769,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3520854378,2.8058010240,0.0000000000,0.0000000000,0.0000000000,0.5946838781,0.1183214175,0.0000000000,0.6360246529,0.6359300477,0.5253918281,0.0000000000,0.0000000000,6.3968796498,2.1027481993,0.0000000000,0.0000000000
2016-3,0.0000000000,0.0000000000,1.0095890884,0.1391611127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3520854378,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1183214175,0.0000000000,0.0000000000,0.7949125596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-4,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2596644590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8577703855,0.0000000000,0.1972023624,0.0000000000,0.0000000000,0.7949125596,0.2626959141,0.0000000000,0.6552241868,4.2645864332,0.0000000000,0.0000000000,0.0000000000
2016-5,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2596644590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.4288851928,0.5946838781,0.1183214175,0.0000000000,0.0000000000,0.7949125596,0.6567397852,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-6,0.0000000000,0.0000000000,4.0383563536,0.2783222254,0.7789933769,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5722129819,0.8920258171,0.2760833074,0.0000000000,0.0000000000,1.4308426073,1.3134795703,0.0000000000,0.6552241868,0.0000000000,1.4018321329,0.0000000000,0.0000000000
2016-7,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5193289179,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7144425964,0.2973419390,0.1972023624,0.0000000000,1.2720493058,1.7488076312,0.2626959141,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-8,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8058010240,7.0482246953,0.0000000000,3.5722129819,0.0000000000,0.1577618899,0.0000000000,0.0000000000,0.3179650238,0.1313479570,0.0000000000,0.3276120934,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-9,0.0000000000,0.0000000000,1.0095890884,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7144425964,0.0000000000,0.0000000000,0.0000000000,1.2720493058,0.6359300477,0.3940438711,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-10,0.0000000000,0.0000000000,3.0287672652,0.1391611127,1.0386578358,3.7900298501,0.0000000000,0.0000000000,0.0000000000,0.3520854378,0.0000000000,0.0000000000,0.4855182037,2.1433277892,0.0000000000,0.2760833074,0.0000000000,0.0000000000,1.2718600954,0.1313479570,0.0000000000,0.9828362803,0.0000000000,0.0000000000,0.0000000000,0.0000000000
