date,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,0.0000000000,4.3455780670,0.0000000000,3.1026500715,0.5263016478,3.8409163948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5714285714,0.0000000000,12.3085950856,0.0000000000,0.6994752968,0.0000000000,0.0000000000,0.9667024705,0.5990017063,0.0000000000,0.1660053760,1.0804611439,0.0000000000,0.0000000000,0.0000000000
2016-2,0.0000000000,0.0000000000,0.0000000000,0.9872068409,0.0000000000,1.2803054649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.4217364480,0.0000000000,0.0000000000,1.8100875126,0.0000000000,0.2997751272,0.0000000000,0.0000000000,0.8861439313,1.5307821383,0.0000000000,0.0000000000,0.0000000000,0.3551634311,0.0000000000,0.0000000000
2016-3,0.0000000000,0.0000000000,3.0694327763,0.4230886461,0.9210278836,0.6401527325,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.4217364480,0.0000000000,0.0000000000,0.7240350050,0.0000000000,0.1199100509,0.0000000000,0.0000000000,1.2889366273,0.7986689417,0.0000000000,0.3320107520,1.0804611439,0.0000000000,0.0000000000,0.0000000000
2016-4,0.0000000000,0.0000000000,0.0000000000,1.2692659383,0.1315754119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1784063429,0.0000000000,0.0000000000,0.0000000000,2.1721050151,0.0000000000,0.0999250424,0.0000000000,0.0000000000,0.0000000000,0.5990017063,0.0000000000,1.1620376321,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2016-5,0.0000000000,0.5794104089,1.0231442588,1.1987511640,0.0000000000,1.9204581974,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.4217364480,75.0000000000,0.0000000000,1.4480700101,0.0000000000,0.6994752968,0.0000000000,0.0000000000,0.2416756176,0.1996672354,0.0000000000,0.0000000000,2.1609222877,0.3551634311,0.0000000000,0.0000000000
2016-6,0.0000000000,2.6073468402,3.0694327763,8.9553763428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.4217364480,0.0000000000,0.0000000000,0.3620175025,0.0000000000,1.4589056191,0.0000000000,0.0000000000,0.0000000000,1.4642263932,0.0000000000,0.4980161281,0.0000000000,0.7103268622,0.0000000000,0.0000000000
2016-7,0.0000000000,0.0000000000,0.0000000000,1.6218398101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13.7566650957,0.0000000000,0.0399700170,0.0000000000,0.0000000000,0.0805585392,0.3993344709,0.0000000000,0.3320107520,1.0804611439,0.3551634311,0.0000000000,0.0000000000
2016-8,0.0000000000,0.0000000000,0.5115721294,2.6090466511,0.2631508239,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.1428571429,0.0000000000,8.6884200604,0.0000000000,1.1391454834,0.0000000000,0.6445641891,1.1278195489,0.4658902160,0.0000000000,0.4980161281,0.0000000000,0.3551634311,0.0000000000,0.0000000000
2016-9,0.0000000000,0.0000000000,0.5115721294,1.9038989075,0.1315754119,0.6401527325,0.0000000000,0.6166183970,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.4302625378,0.1506670889,0.5196102205,0.0000000000,0.0000000000,1.6917293233,1.1980034126,0.0000000000,0.3320107520,0.0000000000,0.7103268622,0.0000000000,0.0000000000
2016-10,0.0000000000,0.2897052045,9.2082983289,0.6346329692,0.2631508239,1.2803054649,0.0000000000,0.0000000000,0.0000000000,0.3568126859,0.0000000000,21.4285714286,0.0000000000,3.9821925277,0.0000000000,0.1398950594,0.0000000000,0.3222820945,1.5306122449,0.9317804320,0.0000000000,0.3320107520,0.0000000000,3.1964708798,0.0000000000,0.0000000000
2016-11,0.0000000000,1.4485260223,6.6504376820,2.6795614254,0.2631508239,0.6401527325,0.0000000000,0.0000000000,0.0000000000,0.1784063429,1.4217364480,0.0000000000,0.0000000000,13.7566650957,0.0000000000,0.6994752968,0.0000000000,0.0000000000,1.9334049409,2.3294510800,0.0000000000,0.6640215041,0.0000000000,2.4861440176,0.0000000000,0.8293872309
2016-12,0.0000000000,0.5794104089,0.0000000000,0.9166920666,0.5263016478,1.9204581974,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.1428571429,0.2460184883,0.0000000000,0.0000000000,0.0399700170,0.0000000000,0.3222820945,1.2889366273,0.6655574514,0.0000000000,0.0000000000,2.1609222877,2.8413074487,0.0000000000,0.0000000000
2017-1,3.1601708968,0.0000000000,0.5115721294,2.6090466511,0.0000000000,0.6401527325,0.0000000000,1.8498551911,0.0000000000,0.1784063429,1.4217364480,3.5714285714,0.0000000000,2.1721050151,0.0000000000,0.2198350933,0.0000000000,0.9668462836,1.2083780881,0.9983361772,0.9607785965,0.0000000000,1.0804611439,0.3551634311,0.0000000000,0.0000000000
