date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,4.3478260870,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1831895037,0.6684510632,0.0000000000,0.4292509692,2.5874716151,0.6209777599,0.0000000000,7.4585028582,0.1712630271,0.5040282967,0.3670981977,0.0069561740,0.0000000000,0.1121764321,0.0000000000,1.1583013191,0.2229448837,1.7912228828,2.2564422062,6.9227977569,0.0000000000,0.2886833238
2016-2,17.3913043478,0.0000000000,0.0000000000,0.0000000000,0.0245440433,0.0457973759,0.4456340421,0.0000000000,1.5023783921,3.0187168842,0.4967822079,3.9588783751,6.2154190485,0.0856315136,0.2520141484,0.2622129984,0.0069561740,0.0000000000,0.1121764321,0.0560799405,0.7876448970,0.3344173255,1.9067856495,0.0000000000,0.3708641655,0.0000000000,0.5773666475
2016-3,26.0869565217,0.0000000000,0.0000000000,0.3561245462,0.0245440433,0.0457973759,0.4456340421,0.0000000000,0.4292509692,2.1562263459,0.1862933280,1.4845793906,1.2430838097,0.2140787839,0.1260070742,0.1573277990,0.0208685219,0.0000000000,0.2243528643,0.0841199108,0.9266410553,0.7803070928,1.9067856495,0.3760737010,0.6181069426,0.0000000000,0.5773666475
2016-4,4.3478260870,0.0000000000,0.0000000000,0.5341868193,0.1718083031,0.1831895037,1.1140851054,0.0000000000,2.3608803304,3.0187168842,0.7451733119,1.9794391875,0.0000000000,0.0428157568,0.0000000000,0.1048851993,0.0139123479,0.0000000000,0.4487057285,0.0000000000,0.6949807915,0.6688346510,2.0801297994,0.0000000000,0.2472427770,0.0000000000,1.1547332950
2016-5,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0457973759,0.4456340421,0.0000000000,0.2146254846,3.4499621534,0.2483911040,0.4948597969,2.4861676194,0.2568945407,0.0000000000,0.2622129984,0.0069561740,0.0000000000,0.1121764321,0.0000000000,0.5791506596,0.4458897673,1.2711904330,0.0000000000,0.4944855541,0.0000000000,0.2886833238
2016-6,0.0000000000,0.0000000000,0.0000000000,0.5341868193,0.0245440433,0.1373921278,1.3369021264,0.0000000000,0.8585019383,1.7249810767,0.4967822079,0.9897195938,1.2430838097,0.1284472703,0.2520141484,0.2097703987,0.0347808698,0.0000000000,0.2243528643,0.0280399703,1.1583013191,0.8917795346,1.2134090497,0.0000000000,0.0000000000,0.0000000000,1.1547332950
2016-7,39.1304347826,0.0000000000,0.0000000000,0.0000000000,0.1472642598,0.0457973759,0.4456340421,0.0000000000,0.6438764538,4.7436979609,0.1862933280,3.9588783751,3.7292514291,0.2140787839,0.0000000000,0.2097703987,0.1112987832,0.0000000000,0.5608821606,0.0560799405,1.1351352927,0.4458897673,1.0978462830,0.0000000000,0.6181069426,0.0000000000,0.5773666475
2016-8,4.3478260870,0.0000000000,0.0000000000,0.5341868193,0.0245440433,0.0915947519,0.0000000000,0.0000000000,0.6438764538,1.2937358075,0.5588799839,0.4948597969,2.4861676194,0.0000000000,0.2520141484,0.3146555980,0.0139123479,0.0000000000,0.1121764321,0.0000000000,0.8339769498,0.8917795346,1.6178787329,0.0000000000,0.3708641655,0.0000000000,0.8660499713
2016-9,0.0000000000,0.0000000000,0.0000000000,0.1780622731,0.0245440433,0.1831895037,1.1140851054,0.0000000000,1.2877529075,1.2937358075,0.4346844319,0.4948597969,6.2154190485,0.0000000000,0.0000000000,0.1573277990,0.0208685219,0.2356620934,0.3365292964,0.0280399703,0.8803090025,0.3344173255,2.1379111828,0.0000000000,0.4944855541,0.0000000000,0.5773666475
2016-10,13.0434782609,0.0000000000,0.1008374403,0.0000000000,0.0736321299,0.1373921278,1.1140851054,0.0000000000,0.6438764538,5.1749432301,0.2483911040,0.9897195938,7.4585028582,0.2997102975,0.2520141484,0.2622129984,0.0139123479,0.0000000000,0.5608821606,0.1682398216,0.5096525804,0.4458897673,1.2711904330,0.0000000000,0.6181069426,0.0000000000,0.0000000000
2016-11,13.0434782609,0.0000000000,0.1008374403,0.0000000000,0.0245440433,0.1831895037,0.6684510632,0.0000000000,0.0000000000,4.3124526918,0.3725866559,0.0000000000,0.0000000000,0.3853418110,0.1260070742,0.4719833971,0.0069561740,0.0000000000,0.1121764321,0.1121598811,0.7413128442,0.3344173255,1.5600973496,0.0000000000,0.4944855541,0.0000000000,0.0000000000
2016-12,43.4782608696,0.0000000000,0.0000000000,0.5341868193,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2146254846,4.7436979609,0.3104888799,0.0000000000,3.7292514291,0.0856315136,0.0000000000,0.6293111961,0.0069561740,0.0000000000,0.0000000000,0.1121598811,0.7413128442,0.5573622091,2.5423808660,0.0000000000,0.2472427770,0.0000000000,0.0000000000
2017-1,8.6956521739,0.3666525397,0.0000000000,0.5341868193,0.0490880866,0.0457973759,0.6684510632,0.0000000000,0.0000000000,3.8812074226,0.2483911040,0.9897195938,1.2430838097,0.0428157568,0.0000000000,0.4719833971,0.0486932177,0.0000000000,0.0000000000,0.0560799405,0.4864865540,0.5573622091,2.9468505492,0.3760737010,0.4944855541,0.0000000000,0.5773666475
2017-2,0.0000000000,0.0000000000,0.1008374403,0.3561245462,0.0245440433,0.1373921278,0.8912680843,0.0000000000,1.2877529075,3.0187168842,0.4346844319,0.4948597969,1.2430838097,0.1712630271,0.0000000000,0.6293111961,0.0347808698,0.0000000000,0.5608821606,0.0280399703,0.4169884749,0.2229448837,3.1779760825,0.7521474021,0.6181069426,0.0000000000,2.0207832663
2017-3,13.0434782609,0.0000000000,0.1008374403,0.0000000000,0.1227202165,0.1831895037,0.4456340421,0.0000000000,0.0000000000,3.8812074226,0.1862933280,0.4948597969,3.7292514291,0.0000000000,0.0000000000,0.8390815948,0.0139123479,0.1178310467,0.1121764321,0.0560799405,0.7644788706,0.2229448837,6.5870776982,0.0000000000,0.2472427770,0.0000000000,0.5773666475
2017-4,8.6956521739,0.0000000000,0.0000000000,0.7122490924,0.0490880866,0.1831895037,0.2228170211,0.0000000000,0.2146254846,3.4499621534,0.1862933280,0.4948597969,3.7292514291,0.0856315136,0.0000000000,0.4719833971,0.0069561740,0.3534931401,0.1121764321,0.1121598811,0.4401545013,0.3344173255,3.9869154489,0.0000000000,0.4944855541,0.0000000000,0.0000000000
2017-5,21.7391304348,0.1222175132,0.0000000000,0.1780622731,0.0736321299,0.1831895037,0.8912680843,0.0000000000,0.2146254846,2.5874716151,1.8629332796,0.9897195938,0.0000000000,0.2140787839,0.0000000000,0.2622129984,0.0000000000,0.0000000000,0.2243528643,0.0560799405,0.9266410553,0.5573622091,3.9291340656,0.0000000000,1.1125924966,0.0000000000,0.2886833238
2017-6,26.0869565217,0.2444350265,0.1008374403,0.5341868193,0.0245440433,0.1831895037,0.4456340421,0.0000000000,0.2146254846,4.3124526918,0.0620977760,1.9794391875,3.7292514291,0.0856315136,0.1260070742,0.4195407974,0.0000000000,0.0000000000,0.1121764321,0.0841199108,0.6718147651,0.0000000000,2.6001622493,0.0000000000,0.7417283311,0.1429438058,0.5773666475
2017-7,17.3913043478,0.1222175132,0.0000000000,0.1780622731,0.0245440433,0.0000000000,0.0000000000,0.0000000000,1.0731274229,3.0187168842,0.1862933280,1.4845793906,3.7292514291,0.3425260543,0.0000000000,0.4719833971,0.0069561740,0.0000000000,0.2243528643,0.1401998513,0.6023166859,0.2229448837,1.5600973496,0.7521474021,0.6181069426,0.0000000000,0.0000000000
2017-8,0.0000000000,0.0000000000,0.1008374403,0.3561245462,0.0245440433,0.1831895037,0.8912680843,0.0000000000,0.4292509692,4.7436979609,0.0620977760,0.4948597969,3.7292514291,0.0856315136,0.0000000000,0.4195407974,0.0417370437,0.0000000000,0.2243528643,0.1121598811,0.9498070817,0.1114724418,2.0801297994,0.0000000000,0.2472427770,0.0000000000,0.8660499713
2017-9,8.6956521739,0.0000000000,0.0000000000,0.5341868193,0.0000000000,0.0915947519,0.0000000000,0.0000000000,0.6438764538,0.8624905384,0.3104888799,0.4948597969,3.7292514291,0.1712630271,0.2520141484,0.4195407974,0.0000000000,0.0000000000,0.3365292964,0.0280399703,0.6949807915,0.3344173255,1.9067856495,0.0000000000,0.7417283311,0.0000000000,0.5773666475
2017-10,0.0000000000,0.0000000000,0.0000000000,0.3561245462,0.0245440433,0.1373921278,0.2228170211,0.0000000000,0.4292509692,3.8812074226,0.2483911040,0.0000000000,3.7292514291,0.2140787839,0.2520141484,0.6817537958,0.0278246958,0.0000000000,0.0000000000,0.0280399703,0.4633205276,0.3344173255,2.1379111828,0.0000000000,0.4944855541,0.0000000000,0.0000000000
2017-11,13.0434782609,0.2444350265,0.0000000000,0.5341868193,0.0245440433,0.1831895037,0.2228170211,1.4505104261,1.7170038767,3.4499621534,0.4346844319,0.4948597969,6.2154190485,0.2140787839,0.0000000000,0.2097703987,0.0139123479,0.0000000000,0.2243528643,0.0280399703,0.8339769498,0.8917795346,3.4668829991,0.0000000000,0.4944855541,0.0000000000,0.2886833238
2017-12,0.0000000000,0.0000000000,0.0000000000,0.8903113655,0.1718083031,0.0915947519,0.0000000000,0.0000000000,0.2146254846,3.8812074226,0.3104888799,0.0000000000,2.4861676194,0.0856315136,0.0000000000,1.1537371928,0.0139123479,0.0000000000,0.3365292964,0.0280399703,0.6718147651,0.0000000000,4.1024782156,0.0000000000,0.3708641655,0.0000000000,0.8660499713
2018-1,8.6956521739,0.1222175132,0.0000000000,0.3561245462,0.0736321299,0.1373921278,0.6684510632,0.0000000000,0.4292509692,2.5874716151,0.3725866559,0.4948597969,1.2430838097,0.1284472703,0.0000000000,0.3146555980,0.0069561740,0.0000000000,0.3365292964,0.1401998513,0.6254827123,0.6688346510,2.7157250159,0.3760737010,0.3708641655,0.0000000000,0.5773666475
2018-2,8.6956521739,0.1222175132,0.0000000000,0.7122490924,0.0245440433,0.0457973759,0.2228170211,0.0000000000,0.4292509692,3.0187168842,0.4346844319,0.0000000000,2.4861676194,0.0000000000,0.0000000000,0.2622129984,0.0208685219,0.0000000000,0.0000000000,0.0280399703,0.3706564221,0.2229448837,2.8312877826,0.0000000000,0.2472427770,0.0000000000,1.1547332950
2018-3,0.0000000000,0.0000000000,0.1008374403,0.0000000000,0.1472642598,0.0457973759,0.2228170211,0.0000000000,0.4292509692,1.2937358075,0.3104888799,2.9691587813,0.0000000000,0.0856315136,0.0000000000,0.2622129984,0.0208685219,0.0000000000,0.1121764321,0.0841199108,0.6254827123,0.6688346510,2.6001622493,0.0000000000,0.1236213885,0.0000000000,0.5773666475
2018-4,4.3478260870,0.0000000000,0.0000000000,0.8903113655,0.0000000000,0.1831895037,0.2228170211,0.0000000000,0.6438764538,3.8812074226,0.2483911040,1.4845793906,2.4861676194,0.0428157568,0.2520141484,0.1048851993,0.0069561740,0.0000000000,0.3365292964,0.0000000000,0.5328186068,0.3344173255,2.1956925661,0.0000000000,0.6181069426,0.0000000000,0.0000000000
2018-5,100.0000000000,0.1222175132,0.0000000000,0.0000000000,0.0736321299,0.5495685111,0.2228170211,0.5802041704,0.4292509692,0.8624905384,0.0620977760,0.9897195938,2.4861676194,0.1712630271,0.1260070742,0.8915241945,0.0000000000,0.0000000000,0.1121764321,0.1962797919,0.6718147651,0.1114724418,2.4845994827,0.0000000000,0.4944855541,0.0000000000,0.5773666475
