date,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,0.0000000000,0.1044967031,0.0000000000,0.0508693757,2.1356670320,5.5416760766,0.0000000000,0.0000000000,0.8937934375,1.2226726097,8.7179487179,27.0525092861,0.0443694496,0.9140583059,0.1086912752,0.4685586772,0.2442140311,0.0000000000,0.4068046509,4.1771597994,0.1155176529,0.9580505549,7.0150044305,3.7151173134,0.0000000000,0.0000000000
2016-2,0.0000000000,0.0000000000,0.3690482608,0.1017387514,1.8983706951,2.7708380383,0.0000000000,0.0000000000,4.4689671876,0.2574047599,28.2051282051,7.7292883675,0.1774777984,0.1305797580,0.0543456376,0.2955523964,0.1221070155,0.0000000000,0.6392644514,2.3526532204,0.0000000000,2.3352482277,6.2355594938,0.1281074936,0.0000000000,0.0000000000
2016-3,0.0000000000,0.0000000000,0.7380965216,0.0254346878,2.8000967753,1.3854190192,0.0000000000,0.0000000000,0.0000000000,0.9009166598,11.2820512821,5.1528589116,0.1331083488,1.4363773378,0.0543456376,0.4901844623,0.0000000000,0.0000000000,0.5230345512,3.9610998098,0.2310353058,1.3173195130,34.6852996843,2.3059348842,0.0000000000,0.0000000000
2016-4,0.0000000000,0.1044967031,1.1071447825,0.0254346878,1.3763187539,5.7725792465,0.0000000000,0.0000000000,1.3406901563,0.6435118998,5.1282051282,10.3057178233,0.0443694496,2.4810154016,0.2173825504,0.3676383467,0.0000000000,0.0000000000,0.2324598005,4.1531531339,0.0000000000,3.7723240601,8.9636167724,2.6902573649,0.0000000000,0.0000000000
2016-5,0.0000000000,0.0000000000,0.5535723912,0.1271734392,1.3288594866,5.5416760766,0.0000000000,0.8896573286,0.8937934375,0.3217559499,1.5384615385,14.1703620070,0.0443694496,1.0446380639,0.2173825504,0.3460125616,1.3431771710,0.1162471914,0.3196322257,2.5206998790,0.0000000000,1.6765884711,3.8972246836,1.2810749357,0.0000000000,0.2991600769
2016-6,0.0000000000,0.0000000000,1.4761930433,0.0000000000,0.8542668128,6.2343855862,0.0000000000,1.1120716608,2.6813803126,0.1287023800,4.1025641026,19.3232209186,0.0000000000,2.0892761277,0.1086912752,0.3315953715,0.2442140311,0.0000000000,0.4358621260,4.0571264719,0.2310353058,1.5568321518,0.7794449367,4.4837622748,0.0000000000,0.0000000000
2016-7,0.0000000000,0.1044967031,1.1071447825,0.1526081270,1.7559928930,6.2343855862,0.0000000000,0.2224143322,0.0000000000,0.4504583299,1.0256410256,10.3057178233,0.0887388992,3.0033344336,0.1086912752,0.4901844623,0.1221070155,0.2324943828,1.0460691024,3.0488465203,0.1155176529,1.4969539921,0.7794449367,2.3059348842,0.0000000000,0.0000000000
2016-8,0.0000000000,0.0000000000,0.9226206520,0.0763040635,0.7593482780,1.3854190192,0.0000000000,0.2224143322,0.4468967188,0.0643511900,3.5897435897,5.1528589116,0.1331083488,0.9140583059,0.0000000000,0.0865031404,0.0000000000,0.0000000000,1.1332415276,3.3369265064,0.0000000000,1.0179287146,1.5588898735,0.8967524550,0.0000000000,0.0000000000
2016-9,0.0000000000,0.0000000000,2.7678619561,0.1271734392,1.0915631497,1.3854190192,0.0000000000,0.0000000000,0.8937934375,0.5791607099,13.8461538462,1.2882147279,0.1331083488,2.8727546756,0.0000000000,0.1802148758,0.0000000000,0.3487415742,0.4068046509,3.4089465030,0.1155176529,2.4550045470,2.3383348102,2.8183648585,0.0000000000,0.0000000000
2016-10,0.0000000000,0.3134901094,2.7678619561,0.1017387514,1.7085336256,4.1562570575,0.0000000000,0.0000000000,2.2344835938,0.0000000000,2.5641025641,24.4760798303,0.2662166976,1.4363773378,0.2173825504,0.0865031404,0.0000000000,0.0000000000,1.5400461785,3.4329531685,0.0000000000,1.2574413534,0.3897224684,2.8183648585,0.0000000000,0.0000000000
