date,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,0.0000000000,3.7749767412,0.0000000000,20.8707082772,7.9712241711,37.3198670198,0.0000000000,3.5478287824,4.1933211826,6.5967342668,2.2856512227,7.5547350757,0.4787765199,2.2973549124,0.5864263696,12.6198746320,0.2577947667,8.8352420059,5.9915297428,14.1350234598,3.3330700288,4.8178528885,21.3011149616,6.2807541077,0.0000000000,2.4561939153
2016-2,0.0000000000,2.1081038944,1.6881411061,9.7134113995,5.2993054546,25.9993268062,0.0000000000,4.6434817887,3.8788220939,4.5890325335,6.8569536682,15.1094701514,0.4891847051,2.0829351206,0.6629167657,9.7215140372,0.1432193148,5.7810842755,8.6703365561,11.6965911259,1.9781635130,3.3710924001,29.5290134446,3.9066891579,0.0000000000,4.3509720785
2016-3,0.0000000000,2.2796937463,5.4972800123,10.3518235737,4.9096506417,23.6702204465,0.0000000000,4.5391338834,11.7412993113,6.1287737124,2.4059486555,8.7634926878,0.1457145930,1.5928327393,0.6756651650,11.1605483815,0.0859315889,4.8539292502,8.3158888352,13.5099287968,2.1949485555,3.2727688718,33.7343837803,5.8900851919,0.0000000000,0.5614157521
2016-4,0.0000000000,1.7894370267,5.2375659959,9.3255909197,6.3458069519,28.8159205436,0.0000000000,3.5478287824,2.7256587687,5.0117065826,2.7668409538,3.0218940303,0.3330619269,1.3784129474,0.5099359736,9.7316599902,0.0859315889,6.8991241590,6.1960188125,9.7818867528,3.3059718984,3.7082016402,23.4952212237,7.4828123102,0.0000000000,3.0877866364
2016-5,0.0000000000,1.6913856827,5.1942803265,9.2659262306,6.2122110161,31.4700184884,0.0000000000,2.8695673975,4.8223193600,3.9550214598,4.3307075799,7.5547350757,0.7493893355,2.8793514902,0.9051363531,8.2182219900,0.0859315889,4.4176210030,5.2349201848,10.1028813095,3.6040513319,5.0004537269,22.8552735639,4.8983871749,0.0000000000,0.9824775661
2016-6,0.0000000000,0.7353850794,1.7747124449,7.8817054414,5.9895511230,21.3411140868,0.0000000000,2.0869581073,4.4029872417,2.9436228422,4.3307075799,3.3240834333,0.3018373712,3.1550340797,0.1912259901,9.5828526785,0.0286438630,9.5987814385,3.2854577201,8.4415936917,2.8453036831,4.7195293602,11.5190578762,6.4009599280,0.0000000000,2.8070787603
2016-7,0.0000000000,1.5443086668,5.0644233184,9.4687861738,5.3549704278,35.6949090944,0.0000000000,2.2956539180,1.3628293843,4.3776955089,3.1277332521,4.5328410454,0.2914291860,2.2054607159,0.4334455776,9.1719415790,0.3150824926,7.3627016716,4.2670052548,8.8864808843,2.6014205102,4.2981428102,7.0394242577,4.4776668041,0.0000000000,1.4737163492
2016-8,0.0000000000,1.0540519472,3.2897108735,8.6036481806,3.0504405348,22.8035762196,0.0000000000,1.5130446278,2.9353248278,3.5927294176,7.2178459665,7.2525456727,0.4683683347,2.8487200914,0.6629167657,8.7153736907,0.0572877259,7.5808557952,2.4947666506,7.6982378763,3.5498550713,4.0453108802,5.2110023726,5.3491590008,0.0000000000,3.1579636054
2016-9,0.0000000000,1.6668728467,4.0255672531,10.1370306927,6.4571368984,27.1909626182,0.0000000000,2.7652194922,3.0401578574,4.1512629826,2.8871383866,10.5766291060,0.2289800747,4.5028156283,0.3314583828,9.5727067254,0.0286438630,5.5901994173,3.4967630922,9.7368348852,2.0323597736,2.9637520685,2.2855273564,4.8082328097,0.0000000000,1.2631854422
2016-10,0.0000000000,1.7649241907,4.1987099306,8.8184410617,5.0432465775,20.2036435390,0.0000000000,1.8782622966,7.9673102470,2.6115218036,6.7366562354,9.3678714939,0.5204092608,3.3081910739,0.4079487789,9.1178298293,0.1432193148,4.6357751266,2.8015002551,8.3571214399,2.5472242496,3.8486638235,6.5823187864,4.5678211693,0.0000000000,4.0000872335
