date,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.4560743562,8.9621382545,0.0000000000,5.7551050389,34.6911667036,8.3256293368,0.0000000000,100.0000000000,2.2961725573,6.7576600470,4.9217915698,0.0932633729,0.0000000000,1.5039831078,0.0000000000,15.5296738669,2.9890889669,24.0154443972,30.2529120278,92.8160433237,0.0000000000,3.8704737440
2016-2,0.0000000000,0.0000000000,0.0000000000,0.3290689470,0.6140185891,5.9747588363,0.0000000000,20.1428676363,40.4730278208,6.6605034695,53.0781607249,83.3333333333,1.1480862786,3.3788300235,3.5155654070,0.0932633729,0.0000000000,1.5039831078,0.7518796992,10.5601782295,4.4836334503,25.5648279067,0.0000000000,4.9722880352,0.0000000000,7.7409474880
2016-3,0.0000000000,0.0000000000,4.7746732076,0.3290689470,0.6140185891,5.9747588363,0.0000000000,5.7551050389,28.9093055863,2.4976888010,19.9043102718,16.6666666667,2.8702156966,1.6894150118,2.1093392442,0.2797901187,0.0000000000,3.0079662156,1.1278195489,12.4237390936,10.4618113841,25.5648279067,5.0421520046,8.2871467253,0.0000000000,7.7409474880
2016-4,0.0000000000,0.0000000000,7.1620098114,2.3034826289,2.4560743562,14.9368970908,0.0000000000,31.6530777141,40.4730278208,9.9907552042,26.5390803624,0.0000000000,0.5740431393,0.0000000000,1.4062261628,0.1865267458,0.0000000000,6.0159324311,0.0000000000,9.3178043202,8.9672669007,27.8889031709,0.0000000000,3.3148586901,0.0000000000,15.4818949760
2016-5,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6140185891,5.9747588363,0.0000000000,2.8775525195,46.2548889381,3.3302517347,6.6347700906,33.3333333333,3.4442588359,0.0000000000,3.5155654070,0.0932633729,0.0000000000,1.5039831078,0.0000000000,7.7648369335,5.9781779338,17.0432186045,0.0000000000,6.6297173803,0.0000000000,3.8704737440
2016-6,0.0000000000,0.0000000000,7.1620098114,0.3290689470,1.8420557672,17.9242765089,0.0000000000,11.5102100779,23.1274444690,6.6605034695,13.2695401812,16.6666666667,1.7221294180,3.3788300235,2.8124523256,0.4663168645,0.0000000000,3.0079662156,0.3759398496,15.5296738669,11.9563558675,16.2685268497,0.0000000000,0.0000000000,0.0000000000,15.4818949760
2016-7,0.0000000000,0.0000000000,0.0000000000,1.9744136819,0.6140185891,5.9747588363,0.0000000000,8.6326575584,63.6004722899,2.4976888010,53.0781607249,50.0000000000,2.8702156966,0.0000000000,2.8124523256,1.4922139665,0.0000000000,7.5199155389,0.7518796992,15.2190803896,5.9781779338,14.7191433402,0.0000000000,8.2871467253,0.0000000000,7.7409474880
2016-8,0.0000000000,0.0000000000,7.1620098114,0.3290689470,1.2280371781,0.0000000000,0.0000000000,8.6326575584,17.3455833518,7.4930664031,6.6347700906,33.3333333333,0.0000000000,3.3788300235,4.2186784884,0.1865267458,0.0000000000,1.5039831078,0.0000000000,11.1813651842,11.9563558675,21.6913691330,0.0000000000,4.9722880352,0.0000000000,11.6114212320
2016-9,0.0000000000,0.0000000000,2.3873366038,0.3290689470,2.4560743562,14.9368970908,0.0000000000,17.2653151168,17.3455833518,5.8279405358,6.6347700906,83.3333333333,0.0000000000,0.0000000000,2.1093392442,0.2797901187,3.1595927009,4.5119493234,0.3759398496,11.8025521389,4.4836334503,28.6635949257,0.0000000000,6.6297173803,0.0000000000,7.7409474880
2016-10,0.0000000000,1.3519576208,0.0000000000,0.9872068409,1.8420557672,14.9368970908,0.0000000000,8.6326575584,69.3823334071,3.3302517347,13.2695401812,100.0000000000,4.0183019753,3.3788300235,3.5155654070,0.1865267458,0.0000000000,7.5199155389,2.2556390977,6.8330565015,5.9781779338,17.0432186045,0.0000000000,8.2871467253,0.0000000000,0.0000000000
