date,infowars,axios,business insider,buzzfeed news,cnbc,cnn,economist,fox news,gizmodo,hyperallergic,mashable,new republic,new yorker,people,politico,refinery 29,reuters,tmz,techcrunch,the hill,the new york times,the verge,vice,vice news,vox,washington post,wired
2016-1,82.0359281437,0.0000000000,0.2985875103,0.0000000000,0.7825434645,8.1271145769,2.7158326131,0.0000000000,0.7094207634,0.0296965305,2.4759164157,20.2759171268,2.9960552898,0.7931170276,17.1113079533,0.6139238465,0.8435506395,0.3813633577,0.2626406285,8.8338499138,4.2657393849,0.5833946955,1.3090770286,9.0381544854,9.4152122188,0.0000000000,1.5903512446
2016-2,44.6107784431,0.0000000000,0.1180462250,2.4768782062,0.5459212506,5.4180763846,2.8539257968,0.0000000000,0.6503023665,0.0593930610,1.5266013133,16.6637369328,4.8792900435,0.4393101751,16.2175631666,0.4514145930,0.7760091061,0.1947387358,0.1313203143,9.0095614640,4.4715286073,0.4528985137,0.8355810821,7.4325224565,8.4702858569,0.0000000000,0.3578290300
2016-3,83.8323353293,0.0000000000,0.3055314059,3.5191289365,0.7183174350,5.0112475990,3.7898907087,0.0000000000,1.3449435306,0.1187861220,2.0525731943,11.8588557313,5.9921105797,0.8461880555,12.4083014063,0.3430750907,0.7285863274,0.2190810778,0.6566015713,6.9396407847,4.4858859949,1.0055882252,0.7480440164,11.5242944012,7.3551024928,0.0000000000,0.1987939056
2016-4,40.4191616766,0.0000000000,0.6805017676,2.1458103271,0.7284583870,3.9831376448,2.1020851299,0.0199770897,0.3547103817,0.2672687746,1.0519437621,4.6685725149,2.1400394927,0.6486458962,9.6402957079,0.2672374391,0.6054787100,0.1054834819,0.3167136991,6.2908596763,3.1490536821,0.2763448558,0.5530750972,5.1017662855,3.6690383963,0.0000000000,0.1590351245
2016-5,14.3712574850,0.0000000000,0.1805412853,3.2984170172,0.6608520402,3.9137559914,1.8719298237,0.0000000000,0.1182367939,0.2672687746,0.9450389082,7.6332864477,3.4240631884,0.7253040475,9.5969100387,0.2852940228,0.4732697512,0.3245645597,0.2085675579,6.1885221800,3.2575317218,0.1842299039,0.7400861013,5.1535608670,5.0310944135,0.0000000000,0.0596381717
2016-6,45.8083832335,0.0000000000,0.3471947794,3.2493699240,0.9160659995,4.8377934656,2.1634598782,0.0000000000,0.3251511832,0.3563583661,0.7910959186,9.3371450298,1.7976331739,1.0348850434,15.4366211201,0.6139238465,0.6505063989,0.4949609536,0.3244384235,7.5749056201,2.9416691944,0.5526897116,0.9390339780,6.0081714631,4.9970430130,0.0000000000,0.5963817167
2016-7,58.6826347305,0.0000000000,0.2083168676,4.6349503066,1.1797307521,4.9450196572,2.4396462457,0.0000000000,0.4581675764,0.2969653051,1.0989818978,10.5298460373,4.3656805652,0.9346397686,17.3976533703,0.7186520321,0.4411755474,0.3894774717,0.1931181092,6.8334414962,3.5941326979,0.2456398718,0.9430129355,4.6615123421,11.3391163430,0.0000000000,0.3578290300
2016-8,51.7964071856,0.0000000000,0.5138482735,2.9060402716,1.0124050437,3.2798599767,0.9819959731,0.0000000000,0.4433879771,0.2078757136,1.0262865972,8.4852157388,9.2449706087,0.5690393544,13.3541089960,0.5272522446,0.3602215110,0.1541681659,0.2935395260,5.3717531061,2.2397524669,0.6217759255,0.7201913136,2.8228046960,5.5674039702,0.0000000000,0.5765023262
2016-9,53.2934131737,0.0000000000,0.1666534941,6.2044572888,1.3369155084,7.0043932772,2.5163646811,0.0000000000,0.4877267748,0.6236271408,1.1802295867,7.7355179627,4.9648916232,1.0702657287,17.8835728659,0.4803051270,0.6505063989,0.3164504457,0.3553373209,8.7759230291,3.8142793079,0.5987471875,0.8475179547,6.7850901868,4.7671960601,0.0000000000,0.4969847639
2016-10,49.4011976048,0.0000000000,0.2846997191,4.6349503066,1.2371961469,5.5379174222,2.5930831165,0.0000000000,0.8572167558,0.2078757136,1.4539060127,10.2231514925,16.5211048840,0.9582268921,17.1113079533,0.4730824935,0.3947108046,0.1866246218,0.6411521225,7.5362876970,2.9719792349,0.2916973478,0.9430129355,3.4961342565,7.9254634500,0.0000000000,2.8626322403
2016-11,71.2574850299,0.0000000000,0.4166337353,6.8175459537,2.2648126186,6.7899408941,3.8819528312,0.0000000000,1.4779599238,0.8315028543,2.6170308228,11.6884698731,18.0619333188,1.2766530593,19.4541340929,0.9172744530,0.6964921237,0.4300480417,0.3167136991,8.0846622053,4.5401250148,0.7676245994,2.3555428600,4.6097177605,12.0712214523,0.0000000000,0.7355374506
2016-12,93.1137724551,0.3198146903,0.3471947794,4.6349503066,1.6157916891,6.2948081860,2.9153005451,0.0000000000,1.4040619276,0.3860548967,1.3726583237,13.2560197686,1.3696252754,1.0024527486,14.2999165857,0.7619878330,0.5523077157,0.3002222178,0.4016856671,9.3281593297,3.1618158044,0.5987471875,1.8382783806,8.0022628539,7.4827952444,0.0000000000,0.9343313562
2017-1,96.4071856287,6.4804555666,0.3333069882,10.3857219834,2.7143948250,11.4984321875,2.9459879193,0.1198625382,1.9804662979,1.9599710138,3.9939653406,18.4357498581,7.9609469130,1.9311957363,22.7861534915,2.2534616483,0.8181626872,1.3307146949,1.1200850334,12.6261299642,5.4542120259,1.6580691347,3.1752081120,9.8150732091,20.8309442128,0.0000000000,1.4313161202
2017-2,38.0239520958,5.6304217845,0.3888581529,4.9292328658,1.9014285044,5.4716894804,1.8412424496,0.0799083588,0.5764043703,0.4157514272,1.1845057809,13.2560197686,7.0193295362,0.6899233623,12.0091532491,1.0003347381,0.5230876197,0.4300480417,0.2008428336,8.1213492322,2.9017875622,0.3991647917,1.4682353300,6.4225281157,9.8834189747,0.0000000000,0.2783114678
