date,chemtrails,illuminati,new world order,soros,jews,obama,kamala harris,moon landing,coronavirus,new holocaust,nine
2016-04,17,1,37,12,5,135,0,0,0,0,203
2016-05,6,0,40,11,4,48,0,0,0,0,160
2016-06,1,0,48,35,13,153,0,0,0,0,190
2016-07,3,9,55,16,2,196,0,0,0,0,154
2016-08,2,1,134,70,8,173,0,0,0,0,119
2016-09,0,0,96,28,2,178,0,1,0,0,179
2016-10,0,3,83,19,0,165,0,0,0,0,156
2016-11,1,3,99,82,15,238,0,1,0,0,167
2016-12,2,10,100,99,23,311,0,0,0,0,183
2017-01,1,2,90,57,9,322,0,0,0,0,156
2017-02,2,0,41,19,4,127,0,1,0,0,177
2017-03,9,3,67,56,23,334,0,1,0,0,147
2017-04,4,2,23,21,9,118,0,3,0,0,75
2017-05,2,5,32,26,4,117,0,0,0,0,105
2017-06,4,6,28,41,6,90,0,1,0,0,146
2017-07,5,4,26,58,15,190,0,3,0,0,151
2017-08,1,0,10,60,16,58,0,1,0,0,167
2017-09,3,2,10,27,3,93,7,0,0,0,147
2017-10,0,0,24,89,3,91,0,0,0,0,140
2017-11,0,3,41,45,7,77,0,0,0,0,167
2017-12,1,0,16,16,2,126,0,0,0,0,138
2018-01,1,2,13,31,4,43,1,0,0,0,187
2018-02,0,2,8,39,3,187,0,0,0,0,247
2018-03,3,0,5,71,21,56,0,0,0,0,208
2018-04,0,1,30,32,6,41,0,0,0,0,140
2018-05,0,23,22,65,10,84,0,0,0,0,173
2018-06,0,2,12,7,0,56,0,0,0,0,96
2018-07,1,3,8,40,5,133,0,2,0,0,187
2018-08,0,1,14,54,13,107,0,1,0,0,170
2018-09,0,1,12,75,9,141,1,1,0,0,146
2018-10,1,1,8,181,13,63,0,0,0,0,93
2018-11,2,0,19,20,11,35,0,0,0,0,86
2018-12,11,4,48,45,12,46,1,4,0,0,175
2019-01,0,1,18,29,0,24,1,12,0,0,88
2019-02,0,0,28,60,10,38,3,2,0,0,68
2019-03,2,2,27,26,26,58,0,0,0,0,110
2019-04,4,4,29,28,25,60,0,0,0,0,134
2019-05,5,2,16,16,5,27,2,0,0,0,105
2019-06,0,1,12,18,9,78,3,0,0,0,162
2019-07,2,0,22,19,8,56,10,4,0,0,194
2019-08,11,3,24,18,13,31,19,1,0,0,174
2019-09,12,0,46,27,5,67,5,2,0,0,124
2019-10,1,1,23,36,8,94,1,1,0,0,102
2019-11,8,0,21,39,11,71,0,0,0,0,153
2019-12,1,1,26,15,6,17,0,0,0,0,85
2020-01,3,3,84,26,17,100,0,0,257,0,154
2020-02,1,1,37,18,5,41,0,0,874,0,83
2020-03,0,0,39,14,6,54,0,0,1182,0,158
2020-04,3,0,76,5,2,22,0,0,765,0,192
2020-05,0,0,160,3,0,86,0,0,437,0,139
2020-06,0,3,132,28,10,51,0,1,169,0,160
2020-07,1,6,119,74,21,42,4,0,204,0,143
2020-08,0,0,157,25,6,49,39,0,217,0,93
2020-09,0,0,57,44,1,20,10,0,252,0,101
2020-10,0,0,77,8,27,48,6,0,164,0,157
2020-11,0,0,83,11,2,62,18,0,94,0,153
2020-12,0,0,76,14,2,43,6,0,119,0,74
2021-01,7,2,134,13,9,47,5,1,73,0,125
2021-02,3,0,56,8,1,16,0,0,60,0,48
2021-03,4,4,170,1,2,13,8,0,70,1,99
2021-04,3,1,162,10,3,26,12,0,68,0,111
2021-05,2,2,127,5,7,19,2,0,186,0,145
2021-06,2,0,135,4,13,7,0,0,144,0,209
2021-07,0,3,104,3,23,9,1,0,88,0,205
2021-08,2,1,70,17,2,47,2,1,121,0,224
2021-09,0,9,146,20,3,16,0,0,151,0,152
2021-10,0,0,109,6,7,17,5,1,91,0,165
2021-11,1,4,126,15,7,8,0,0,39,0,148
2021-12,0,2,342,12,9,22,7,0,52,0,238
2022-01,3,1,245,10,3,14,4,0,70,0,146
2022-02,3,0,129,25,8,23,1,0,52,0,108
2022-03,0,3,213,11,3,18,0,2,25,1,111
2022-04,1,1,253,6,2,36,9,0,30,0,178
2022-05,5,5,404,16,5,51,2,0,28,0,233
2022-06,17,2,166,5,1,8,7,0,5,0,150
2022-07,0,0,269,2,2,7,2,0,18,0,101
2022-08,5,2,323,11,1,23,10,2,17,0,196
2022-09,1,1,281,13,2,19,4,0,17,0,225
2022-10,3,2,314,5,4,17,0,1,12,0,172
2022-11,7,0,276,16,7,43,5,0,12,0,81
2022-12,1,0,257,12,52,20,3,0,26,0,128
2023-01,0,1,444,5,2,35,8,0,37,1,99
2023-02,3,0,419,31,5,15,5,1,5,0,102
2023-03,0,0,269,4,5,33,2,0,22,0,139
2023-04,1,0,119,3,0,4,1,0,16,0,102
2023-05,0,0,12,0,0,0,0,0,1,0,21
